Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,23,46,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1780295077844859.030	,6.700,0,16,0,NO,"""32,1024;1024,1024;1024""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""32,1024""",FLOAT,ND,N/A,5.512,158758,1.537,0.279,2.664,0.483,1.652,0.3,2.048,0.372,0.181,0.033,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.820
0,4294967295,24,46,aclnnGelu_Gelu_Gelu,Gelu,dynamic,AI_VECTOR_CORE,1780295077845035.330	,2.700,169.550000,32,0,NO,"""32,1024""",FLOAT,ND,"""32,1024""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.265,72874,0.193,0.152,0.741,0.586,0.138,0.109,0.146,0.116,0.0,0.000
0,4294967295,25,46,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1780295077845342.430	,7.100,304.550000,16,0,NO,"""32,1024;1024,1024;1024""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""32,1024""",FLOAT,ND,N/A,5.743,165388,1.539,0.268,2.867,0.499,1.652,0.288,2.064,0.359,0.184,0.032,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.706
0,4294967295,26,46,aclnnGelu_Gelu_Gelu,Gelu,dynamic,AI_VECTOR_CORE,1780295077845522.510	,2.440,172.900000,32,0,NO,"""32,1024""",FLOAT,ND,"""32,1024""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.174,67620,0.193,0.164,0.652,0.556,0.134,0.114,0.149,0.127,0.0,0.000
0,4294967295,27,46,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1780295077845822.650	,6.820,297.810000,16,0,NO,"""32,1024;1024,1024;1024""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""32,1024""",FLOAT,ND,N/A,5.572,160485,1.537,0.276,2.738,0.491,1.652,0.296,2.035,0.365,0.185,0.033,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.365
0,4294967295,28,46,aclnnGelu_Gelu_Gelu,Gelu,dynamic,AI_VECTOR_CORE,1780295077845988.430	,2.760,158.930000,32,0,NO,"""32,1024""",FLOAT,ND,"""32,1024""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.273,73312,0.193,0.151,0.763,0.599,0.126,0.099,0.145,0.114,0.0,0.000
0,4294967295,29,46,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1780295077846299.450	,7.120,308.240000,16,0,NO,"""32,1024;1024,1024;1024""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""32,1024""",FLOAT,ND,N/A,5.801,167059,1.539,0.265,2.898,0.5,1.652,0.285,2.103,0.363,0.178,0.031,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.176
0,4294967295,30,46,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1780295077847109.390	,6.860,802.880000,16,0,NO,"""32,1024;1024,1024;1024""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""32,1024""",FLOAT,ND,N/A,5.54,159550,1.538,0.278,2.712,0.49,1.652,0.298,2.025,0.365,0.18,0.033,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.606
0,4294967295,31,46,aclnnGelu_Gelu_Gelu,Gelu,dynamic,AI_VECTOR_CORE,1780295077847276.870	,2.520,160.390000,32,0,NO,"""32,1024""",FLOAT,ND,"""32,1024""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199,69076,0.193,0.161,0.665,0.554,0.147,0.123,0.147,0.123,0.0,0.000
0,4294967295,32,46,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1780295077847589.190	,6.740,309.980000,16,0,NO,"""32,1024;1024,1024;1024""",FLOAT;FLOAT;FLOAT,ND;ND;ND,"""32,1024""",FLOAT,ND,N/A,5.561,160163,1.538,0.277,2.702,0.486,1.652,0.297,2.06,0.37,0.181,0.033,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.008
